deal_price,price_per_sqm,region_code,region_name,city,district,street,area,realestate_type_name,purpose_name,wall_material_name,floor,area_category,price_per_sqm_category,period_start_date,year_build,year,month
220612.97,246.6,66.0,Свердловская область,Екатеринбург,Не указано,Калиновский,894.8,Здание,Нежилое здание,Дерево,2.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1953.0,2024,1
1364417.0,1084.2,50.0,Московская область,Озерецкий,Орехово-Зуевский,Не указано,1258.4,Здание,Нежилое здание,Не указано,3.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,,2024,1
400000.0,814.7,89.0,Ямало-Ненецкий автономный округ,Уренгой,Пуровский,Не указано,491.0,Здание,Нежилое здание,Панели,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2004.0,2024,1
22032.0,480.0,22.0,Алтайский край,Горняк,Локтевский,Пионерская,45.9,Помещение,Нежилое помещение,Кирпич,,30-50 кв.м,До 10 тыс/кв.м,2024-01-01,1993.0,2024,1
342048.0,2964.0,75.0,Забайкальский край,Краснокаменск,Краснокаменский,Молодежная,115.4,Помещение,Нежилое помещение,Кирпич,1.0,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,,2024,1
224262.0,199.3,16.0,Республика Татарстан,Нижний Суык-Су,Тукаевский,Новая,1125.0,Здание,Нежилое здание,Кирпич,2.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1980.0,2024,1
1116000.0,11961.4,22.0,Алтайский край,Барнаул,Не указано,Ленина,93.3,Помещение,Нежилое помещение,Кирпич,1.0,50-100 кв.м,10-50 тыс/кв.м,2024-01-01,1963.0,2024,1
182367.36,201.6,66.0,Свердловская область,Ревда,Не указано,Спортивная,904.6,Помещение,Нежилое помещение,Кирпич,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1990.0,2024,1
5910972.0,21852.0,14.0,Республика Саха (Якутия),Якутск,Не указано,Аммосова,270.5,Помещение,Нежилое помещение,Блоки,,Свыше 200 кв.м,10-50 тыс/кв.м,2024-01-01,1964.0,2024,1
2000.0,48.7,2.0,Республика Башкортостан,Верхние Каргалы,Благоварский,Солнечная,41.1,Здание,Нежилое здание,Металл,1.0,30-50 кв.м,До 10 тыс/кв.м,2024-01-01,2010.0,2024,1
4258.53,107.3,66.0,Свердловская область,Качканар,Не указано,микрорайон,39.7,Помещение,Нежилое помещение,Кирпич,1.0,30-50 кв.м,До 10 тыс/кв.м,2024-01-01,1969.0,2024,1
1200000.0,13015.2,86.0,Ханты-Мансийский автономный округ,Сургут,Не указано,Комсомольский,92.2,Помещение,Нежилое помещение,Железобетон,1.0,50-100 кв.м,10-50 тыс/кв.м,2024-01-01,1986.0,2024,1
420460.92,77.4,50.0,Московская область,Богородский,Не указано,Боровое,5432.1,Здание,Нежилое здание,Кирпич,5.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1998.0,2024,1
10000.0,231.5,5.0,Республика Дагестан,Махачкала,Не указано,Времена года,43.2,Помещение,Нежилое помещение,Не указано,18.0,30-50 кв.м,До 10 тыс/кв.м,2024-01-01,2022.0,2024,1
62000.0,119.9,61.0,Ростовская область,Батайск,Не указано,50 лет Октября,517.2,Здание,Нежилое здание,Металл,3.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2022.0,2024,1
88578.0,570.0,11.0,Республика Коми,Воркута,Не указано,Суворова,155.4,Помещение,Нежилое помещение,Кирпич,,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,1973.0,2024,1
6000.0,18.6,75.0,Забайкальский край,Чернышевск,Чернышевский,Куйбышева,322.7,Здание,Нежилое здание,Кирпич,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2015.0,2024,1
