type,price,price_per_sqm,area,rooms,living_area,kitchen_area,gas,material,build_year,build_series_category,published,updated,level,levels,rubbish_chute,enterances,build_overlap,build_walls,heating,areaRating,city,remoute_from_center,agencyName,longitude,latitude
Многоквартирный дом,9000.0,265.0,34.0,1,18.0,9.0,Нет,кирпич,2011.0,brick_series,2022-02-03,2022-02-05,1,9,Есть,1,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,3.9516961929709633,Актив,47.826396,56.637946
Многоквартирный дом,8000.0,222.0,36.0,1,18.0,7.0,Да,панель,1984.0,other_series,2020-06-13,2022-02-04,5,9,Есть,8,Железобетонные,Панельные,центральное,3.6344512,Йошкар-Ола,2.102226880231364,Актив,47.920728,56.629604
Многоквартирный дом,16000.0,333.0,48.0,1,25.0,12.0,Да,кирпич,2014.0,brick_series,2021-08-30,2022-02-10,6,9,Есть,5,Железобетонные,Кирпич,квартирное отопление (квартирный котел),3.6344512,Йошкар-Ола,2.6607627546438684,Первый Мега-магазин недвижимости,47.848566,56.644242000000006
Многоквартирный дом,15000.0,231.0,65.0,2,35.0,10.0,Да,кирпич,2007.0,brick_series,2022-02-02,2022-02-08,4,6,Нет,1,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,1.712082214471693,Первый Мега-магазин недвижимости,47.873827,56.650983
Многоквартирный дом,12000.0,375.0,32.0,1,,,Да,кирпич,1987.0,brick_series,2021-04-18,2022-02-10,2,5,Нет,5,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,0.9201615699230932,Elena,47.900974,56.644831
Многоквартирный дом,10000.0,331.0,30.2,1,,,Да,кирпич,1964.0,brick_series,2022-02-05,2022-02-06,2,4,Нет,4,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,1.6033833758274834,Инна,47.86797,56.645797
Многоквартирный дом,11000.0,275.0,40.0,1,30.0,10.0,Да,кирпич,2017.0,brick_series,2022-02-05,2022-02-05,3,9,0,4,Железобетонные,Кирпич,квартирное отопление (квартирный котел),3.6344512,Йошкар-Ола,5.41974882543695,Ксения,47.97477,56.653863
Многоквартирный дом,12500.0,216.0,58.0,2,,9.0,Да,кирпич,1970.0,brick_series,2022-02-03,2022-02-08,6,6,Нет,6,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,1.7369643482530417,Агентство недвижимости,47.871506,56.650196
Многоквартирный дом,11000.0,262.0,42.0,2,,6.0,Да,кирпич,1961.0,brick_series,2021-12-09,2022-02-10,1,4,Нет,2,0,Кирпич,центральное,3.6344512,Йошкар-Ола,0.8486202594243797,Лил,47.897596,56.632139
Многоквартирный дом,10000.0,286.0,35.0,1,,8.0,Да,панель,2000.0,unknown,2022-02-03,2022-02-03,3,5,Нет,7,Железобетонные,Смешанные,"автономная котельная (крышная, встроенно-пристроенная)",3.6344512,Йошкар-Ола,4.273468832756738,Надежда(Агентство),47.822668,56.630778
